adam_steps_per_update,repetition,update_number,sample_index,update_time_s,latency_ms,estimated_k_Nm_per_rad,stride,window_length,warmup_updates
3,1,1,100,0.05,1.6494,328.60073102694963,50,101,20
3,1,2,150,0.075,3.4745,327.93496782611305,50,101,20
3,1,3,200,0.1,1.5913,327.26669846928513,50,101,20
3,1,4,250,0.125,3.445,326.54992587586327,50,101,20
3,1,5,300,0.15,3.6192,325.6720824667957,50,101,20
3,1,6,350,0.17500000000000002,1.7211,324.51465109186387,50,101,20
3,1,7,400,0.2,3.3908,322.99611175999337,50,101,20
3,1,8,450,0.225,3.2657,321.02850271774355,50,101,20
3,1,9,500,0.25,1.4881,318.52879820299955,50,101,20
3,1,10,550,0.275,2.0506,315.7297226358794,50,101,20
3,1,11,600,0.3,1.5847,312.71090240871155,50,101,20
3,1,12,650,0.325,1.532,309.3939997905435,50,101,20
3,1,13,700,0.35000000000000003,1.5037,305.7424011384093,50,101,20
3,1,14,750,0.375,3.6062,301.791911965249,50,101,20
3,1,15,800,0.4,2.608,297.6508886775094,50,101,20
3,1,16,850,0.425,1.7572,293.460929403749,50,101,20
3,1,17,900,0.45,1.5851,289.3923214318294,50,101,20
3,1,18,950,0.47500000000000003,1.8547,285.45102882860334,50,101,20
3,1,19,1000,0.5,1.6563,281.7262397650803,50,101,20
3,1,20,1050,0.525,2.1158,278.483775320256,50,101,20
3,1,21,1100,0.55,1.5303,275.8100945072552,50,101,20
3,1,22,1150,0.5750000000000001,1.5284,273.66228873074743,50,101,20
3,1,23,1200,0.6,1.6371,271.95833844585263,50,101,20
3,1,24,1250,0.625,1.5029,270.6041244653582,50,101,20
3,1,25,1300,0.65,1.5019,269.51211724818745,50,101,20
3,1,26,1350,0.675,1.9413,268.6106526709706,50,101,20
3,1,27,1400,0.7000000000000001,1.6064,267.84616202121236,50,101,20
3,1,28,1450,0.725,1.5359,267.1800592328676,50,101,20
3,1,29,1500,0.75,1.6492,266.59312859098554,50,101,20
3,2,1,100,0.05,3.6804,328.60073102694963,50,101,20
3,2,2,150,0.075,2.0362,327.93496782611305,50,101,20
3,2,3,200,0.1,1.6125,327.26669846928513,50,101,20
3,2,4,250,0.125,1.45,326.54992587586327,50,101,20
3,2,5,300,0.15,1.4706,325.6720824667957,50,101,20
3,2,6,350,0.17500000000000002,2.1719,324.51465109186387,50,101,20
