adam_steps_per_update,sample_index,t,k_true_evaluation_only,k_online_causal
3,100,0.05,349.9887455798294,328.60073102694963
3,150,0.075,349.9753992330962,327.93496782611305
3,200,0.1,349.9509415779777,327.26669846928513
3,250,0.125,349.9061354899631,326.54992587586327
3,300,0.15,349.82409641783386,325.6720824667957
3,350,0.17500000000000002,349.6740354079554,324.51465109186387
3,400,0.2,349.4000567442916,322.99611175999337
3,450,0.225,348.90150607794504,321.02850271774355
3,500,0.25,347.99981978348444,318.52879820299955
3,550,0.275,346.38684691095534,315.7297226358794
3,600,0.3,343.55744658776456,312.71090240871155
3,650,0.325,338.76063848953567,309.3939997905435
3,700,0.35000000000000003,331.08007525958766,305.7424011384093
3,750,0.375,319.84044489540986,301.791911965249
3,800,0.4,305.3844950280155,297.6508886775094
3,850,0.425,289.59090420508073,293.460929403749
3,900,0.45,275.13495433768634,289.3923214318294
3,950,0.47500000000000003,263.89532397350854,285.45102882860334
3,1000,0.5,256.21476074356053,281.7262397650803
3,1050,0.525,251.41795264533164,278.483775320256
3,1100,0.55,248.58855232214083,275.8100945072552
3,1150,0.5750000000000001,246.97557944961176,273.66228873074743
3,1200,0.6,246.07389315515118,271.95833844585263
3,1250,0.625,245.5753424888046,270.6041244653582
3,1300,0.65,245.30136382514078,269.51211724818745
3,1350,0.675,245.15130281526234,268.6106526709706
3,1400,0.7000000000000001,245.0692637431331,267.84616202121236
3,1450,0.725,245.0244576551185,267.1800592328676
3,1500,0.75,245.0,266.59312859098554
4,100,0.05,349.9887455798294,328.3916216677848
4,150,0.075,349.9753992330962,327.60891027117896
4,200,0.1,349.9509415779777,326.8906647410305
4,250,0.125,349.9061354899631,326.16915602403066
4,300,0.15,349.82409641783386,325.31399885550377
4,350,0.17500000000000002,349.6740354079554,324.17034365798304
4,400,0.2,349.4000567442916,322.6584602036987
4,450,0.225,348.90150607794504,320.69196060379886
4,500,0.25,347.99981978348444,318.1901655761985
4,550,0.275,346.38684691095534,315.55919157286183
4,600,0.3,343.55744658776456,312.94495290850324
4,650,0.325,338.76063848953567,310.15832978703025
4,700,0.35000000000000003,331.08007525958766,307.04623534110726
4,750,0.375,319.84044489540986,303.55003009500143
4,800,0.4,305.3844950280155,299.7031378016579
4,850,0.425,289.59090420508073,295.589804169682
4,900,0.45,275.13495433768634,291.373869438965
4,950,0.47500000000000003,263.89532397350854,287.00015499158366
4,1000,0.5,256.21476074356053,282.62756493449047
4,1050,0.525,251.41795264533164,278.7610864360466
4,1100,0.55,248.58855232214083,275.59468900491214
4,1150,0.5750000000000001,246.97557944961176,273.08062125399397
4,1200,0.6,246.07389315515118,271.10908546790455
4,1250,0.625,245.5753424888046,269.5538671826586
4,1300,0.65,245.30136382514078,268.30182812006166
4,1350,0.675,245.15130281526234,267.2647926708006
4,1400,0.7000000000000001,245.0692637431331,266.3804014864286
4,1450,0.725,245.0244576551185,265.6056818008872
4,1500,0.75,245.0,264.9237809983745
5,100,0.05,349.9887455798294,328.1816113638057
5,150,0.075,349.9753992330962,327.2920594217847
5,200,0.1,349.9509415779777,326.53936475931323
5,250,0.125,349.9061354899631,325.83281695534936
5,300,0.15,349.82409641783386,325.01804171260494
5,350,0.17500000000000002,349.6740354079554,323.89709705765875
5,400,0.2,349.4000567442916,322.39567140459263
5,450,0.225,348.90150607794504,320.4311331272798
5,500,0.25,347.99981978348444,317.9265569023642
5,550,0.275,346.38684691095534,315.4982167170975
5,600,0.3,343.55744658776456,313.3563616669351
5,650,0.325,338.76063848953567,311.1540022373554
5,700,0.35000000000000003,331.08007525958766,308.6013517991014
5,750,0.375,319.84044489540986,305.5456388874449
5,800,0.4,305.3844950280155,301.94635927024376
5,850,0.425,289.59090420508073,297.8247072772156
5,900,0.45,275.13495433768634,293.3428664553432
5,950,0.47500000000000003,263.89532397350854,288.37570335540727
5,1000,0.5,256.21476074356053,283.2052329031214
5,1050,0.525,251.41795264533164,278.6519595203044
5,1100,0.55,248.58855232214083,275.01235684942566
5,1150,0.5750000000000001,246.97557944961176,272.19288982432414
5,1200,0.6,246.07389315515118,270.02539930772747
5,1250,0.625,245.5753424888046,268.3357663391921
5,1300,0.65,245.30136382514078,266.9806522239223
5,1350,0.675,245.15130281526234,265.85618783971427
5,1400,0.7000000000000001,245.0692637431331,264.89353785231924
5,1450,0.725,245.0244576551185,264.0473062459557
5,1500,0.75,245.0,263.30482178985903
